year,region,sexo,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
2000,III,H,21.08,60.89,93.10,99.22,93.10,94.23,65.74,69.40,26.50,90.79,60.00,14.40,17.77,108.39,73.06,4.10,10.01,3.19,71.98,69.73,75.06,9.90,67.63,24.94,84.40,71.9,80.8,8.6,38.4,17.2,7.8,4.2,71.0, ,7.9,23.2,16.9,18.4,20.9,5.4,15.7,0.8,35.3,57.5,4.1,404832,409852,240294
2003,III,H,17.40,56.38,94.39,99.21,94.39,95.20,67.40,64.10,36.85,95.59,66.05,26.55,20.89,104.12,89.56,16.09,9.75,3.79,63.90,69.94,74.09,7.25,68.72,25.91,88.22,72.1,74.2,7.6,35.2,19.0,8.4,4.0,74.5, ,8.6,25.1,17.6,16.9,35.5,10.0,22.0,2.4,46.9,66.9,5.3,434149,440792,252611
2006,III,H,14.58,67.39,93.94,99.05,93.94,94.97,64.29,63.99,35.34,94.06,63.06,19.77,29.72,101.74,93.22,21.50,10.42,2.76,64.52,67.84,75.56,3.83,72.67,24.44,89.95,75.8,79.5,9.3,35.5,19.5,8.1,4.1,77.3, ,8.0,9.6,6.4,7.3,56.7,20.6,40.1,4.4,51.2,83.8,3.8,682704,689881,353851
2009,III,H,15.38,72.30,95.53,99.56,95.53,96.57,68.15,63.41,30.78,92.48,69.66,22.32,36.83,102.72,94.49,30.78,10.49,2.32,56.40,65.26,72.03,7.49,66.63,27.97,85.37,65.1,82.1,10.5,36.9,20.6,8.5,4.1,75.6, ,10.1,15.5,10.9,10.9,67.6,38.1,55.4,7.0,58.5,89.7,5.9,752373,768649,396590
1990,IV,H,32.20,47.27,54.81,85.90,60.04,65.44,62.15,64.00,14.64,91.12,51.90,13.67,35.45,99.53,95.40,25.44,8.53,5.21,48.35,52.92,73.89,7.93,68.03,26.11,76.77,,68.4,11.9,38.9,21.2,9.4,4.3,78.3, ,6.6,44.2,38.7,37.2,,,,,,,,125817,127588,73722
1992,IV,H,29.27,31.51,62.89,91.65,63.55,69.68,64.98,62.75,17.05,91.75,54.65,9.74,32.18,106.14,76.51,16.63,8.66,4.38,43.74,53.33,74.25,4.18,71.14,25.75,87.45,54.1,64.2,10.8,36.1,21.9,10.6,4.2,67.0, ,9.3,37.4,32.7,32.8,,,,,,,,176209,178278,99089
1994,IV,H,23.84,46.34,71.58,93.87,72.73,74.66,68.29,66.75,24.68,91.39,58.68,10.56,33.42,103.42,78.34,12.50,8.65,5.07,64.39,59.58,76.01,5.74,71.65,23.99,72.41,70.4,69.4,10.3,37.2,18.8,11.3,4.1,77.4, ,6.8,31.5,26.5,26.4,,,,,,,,235259,238189,134776
1996,IV,H,25.83,51.02,71.69,94.98,71.69,75.06,69.02,64.21,27.77,91.33,53.35,16.71,32.65,105.39,84.84,31.94,8.90,6.43,47.46,58.21,73.93,5.63,69.77,26.07,72.96,60.1,71.7,9.2,33.0,23.0,10.9,4.3,72.7, ,7.4,28.5,24.5,25.1,,,,0.7,,,3.5,324682,329020,174379
1998,IV,H,22.35,61.96,77.31,95.54,77.31,81.12,73.24,67.29,33.32,91.20,61.73,16.25,22.69,103.07,80.35,12.45,9.38,5.10,45.91,63.12,74.40,7.56,68.77,25.60,72.54,58.6,72.0,9.5,36.7,20.2,11.3,4.1,74.6, ,10.2,24.1,19.1,19.1,,,,,,,,404928,409999,221242
2000,IV,H,18.97,60.23,81.59,93.90,81.59,84.23,74.94,64.16,35.35,93.88,64.74,23.27,24.20,106.63,60.54,12.58,9.42,5.16,41.15,69.73,70.51,10.93,62.80,29.49,75.13,59.2,69.8,7.8,35.6,18.7,10.8,4.2,73.9, ,9.0,24.2,19.5,19.5,19.6,4.2,13.0,1.0,34.6,48.5,7.1,467736,474134,236410
