year,region,sexo,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1996,I,M,15.60,54.79,95.38,99.07,95.38,96.14,67.44,11.04,28.85,93.16,67.86,28.41,20.52,101.28,84.21,11.28,10.30,2.12,25.61,65.11,36.64,6.87,34.12,63.36,86.98,69.8,76.5,9.9,34.9,21.7,7.4,3.7,55.2,66.2,5.9,21.9,28.3,24.1,,,,9.0,,,4.9,274567,277249,165311
1998,I,M,14.61,56.18,91.97,99.51,91.97,94.31,70.44,12.97,24.15,93.89,63.24,23.01,20.68,100.41,84.59,18.94,10.16,2.22,29.26,68.02,39.77,10.83,35.46,60.23,74.01,61.2,72.8,7.3,35.2,19.6,7.8,3.6,50.8,71.4,10.5,16.5,17.1,20.1,,,,,,,,316829,319429,182029
2000,I,M,15.25,57.75,94.26,99.04,94.26,95.79,71.93,7.52,29.14,95.11,69.02,17.80,23.33,101.04,81.36,7.94,10.04,2.75,24.77,62.18,43.81,13.32,37.97,56.19,71.70,54.1,72.9,9.3,31.5,21.8,11.2,3.7,62.3,53.3,16.6,20.9,23.9,21.0,16.2,4.4,9.6,15.2,35.6,57.9,7.3,295019,299433,169955
2003,I,M,14.50,61.86,94.68,98.99,94.68,96.12,77.00,14.26,34.50,96.86,78.02,22.79,18.28,98.28,64.13,7.12,10.67,1.87,20.30,66.33,41.29,15.38,34.94,58.71,69.93,54.1,68.5,9.7,33.8,20.6,10.4,3.7,69.8,48.9,9.3,20.2,22.1,25.1,37.1,8.0,20.5,13.2,47.1,61.6,2.4,341679,345679,222354
2006,I,M,14.80,66.87,97.01,99.38,97.01,97.76,63.20,23.62,46.48,92.17,67.88,14.18,19.78,102.44,79.29,11.03,10.07,1.81,4.24,62.81,38.16,12.15,33.52,61.84,72.92,52.2,66.6,8.4,30.6,19.8,13.0,3.9,66.9,48.0,8.1,12.0,11.6,13.9,50.2,24.5,37.6,13.3,43.4,90.7,12.1,545752,549952,198312
2009,I,M,15.61,77.63,94.74,99.77,94.74,96.75,68.72,12.84,47.86,89.82,70.83,23.58,13.66,99.08,64.09,9.32,10.59,2.81,6.14,68.32,40.17,9.76,36.25,59.83,76.84,38.6,63.2,8.3,31.3,21.8,10.8,3.7,78.7,55.5,6.8,16.0,15.0,19.1,62.9,28.1,37.9,11.5,51.4,94.1,8.9,510608,535711,297749
1990,II,M,20.15,52.64,71.87,98.51,83.10,82.06,61.47,3.14,13.43,89.98,69.71,12.61,15.79,98.06,65.91,9.38,9.61,2.32,12.51,52.19,26.55,8.60,24.27,73.45,84.98,,79.6,12.0,36.2,23.5,7.3,3.7,59.9,40.6,3.9,35.3,29.5,35.3,,,,,,,,112155,113046,71899
1992,II,M,17.29,43.29,82.33,98.56,85.13,85.93,66.37,1.55,18.02,85.69,64.17,8.13,20.00,99.98,73.32,2.21,9.34,2.90,11.85,52.38,30.45,9.94,27.42,69.55,86.00,63.4,79.7,11.2,34.7,24.0,7.3,3.5,60.4,58.9,2.2,33.0,28.5,31.4,,,,,,,,146578,148698,79259
1994,II,M,17.10,54.98,91.19,97.96,91.31,94.76,69.76,6.29,24.72,90.78,68.67,10.37,23.21,102.53,90.89,12.31,9.40,3.54,61.07,58.39,32.81,7.69,30.28,67.19,75.81,63.9,73.1,11.7,36.6,19.7,9.6,3.9,61.5,50.4,10.8,26.7,26.0,28.3,,,,,,,,199871,202017,121603
1996,II,M,23.98,61.04,94.44,99.76,94.44,96.86,68.70,12.81,20.74,94.22,67.96,21.61,26.27,101.50,89.40,16.66,10.02,1.43,10.20,61.12,28.87,8.65,26.37,71.13,71.02,55.0,78.3,9.3,32.6,20.8,9.1,3.7,49.5,64.1,8.1,16.5,23.4,22.6,,,,2.8,,,1.5,262210,265186,171354
1998,II,M,22.14,72.26,91.31,98.80,91.31,91.46,66.12,5.53,30.38,91.61,70.58,19.86,33.51,98.71,101.62,15.05,10.17,1.58,12.33,64.11,33.11,6.96,30.81,66.89,79.28,64.4,80.5,8.8,33.1,20.6,8.5,3.4,52.7,60.6,8.6,13.7,24.0,20.3,,,,,,,,276275,279729,223866
2000,II,M,9.86,80.27,98.88,99.78,98.88,98.94,69.70,20.32,31.83,95.86,65.69,22.18,27.97,100.50,98.57,10.12,10.50,1.24,10.17,63.48,31.07,13.03,27.02,68.93,77.94,67.7,78.3,8.9,31.4,20.2,10.5,3.6,51.9,51.7,12.5,14.0,13.6,15.9,21.4,8.8,16.9,2.5,38.0,57.0,3.6,388020,392049,229958
2003,II,M,11.83,75.70,95.70,99.59,95.70,98.34,69.58,20.56,31.55,94.30,76.06,28.12,28.67,105.64,85.44,12.82,10.57,1.04,7.89,61.18,39.64,11.76,34.98,60.36,78.52,57.7,76.9,9.4,30.8,21.7,9.6,3.9,64.1,46.8,13.0,10.3,8.8,9.4,41.6,14.0,30.2,4.8,54.2,47.3,4.1,491246,497634,238702
2006,II,M,14.13,74.69,99.56,99.81,99.56,99.70,68.71,15.50,34.37,91.44,69.16,28.92,28.61,105.32,75.47,10.89,10.45,1.50,7.92,66.12,44.14,7.00,41.05,55.86,80.36,63.4,76.6,6.9,29.1,22.0,12.2,3.8,71.0,44.4,3.1,7.6,7.5,6.6,59.9,22.9,37.5,7.2,52.1,86.6,7.4,543592,549161,224116
2009,II,M,13.97,70.64,97.51,99.91,97.51,98.05,66.57,11.77,31.45,92.30,72.47,27.64,30.05,103.50,96.28,19.10,10.49,1.92,9.29,64.15,38.60,9.26,35.03,61.40,78.44,59.9,80.9,8.8,28.9,18.8,14.2,3.9,73.6,56.1,15.0,8.2,15.1,12.7,70.3,33.9,48.1,5.4,53.9,92.1,7.6,576355,600361,285377
1990,III,M,18.79,33.66,67.58,97.79,80.07,76.20,69.40,0.00,16.87,91.21,64.21,8.09,21.68,101.86,79.95,11.76,8.61,4.90,63.69,58.50,26.60,5.79,25.06,73.40,86.57,,78.7,11.1,37.7,21.2,9.6,3.7,75.9,43.5,3.5,35.4,31.1,35.4,,,,,,,,92833,93812,54006
1992,III,M,11.74,29.93,84.24,98.96,85.51,88.69,70.36,0.38,19.26,88.11,58.88,9.35,20.66,100.25,61.41,7.90,8.99,3.89,63.01,57.21,26.81,3.89,25.76,73.19,85.38,65.5,79.2,9.3,32.3,21.5,10.9,3.1,63.4,66.2,5.1,30.7,29.2,32.0,,,,,,,,127386,128492,96039
1994,III,M,14.72,47.95,86.36,97.47,86.43,89.62,68.37,4.03,20.62,88.09,58.52,6.17,22.92,106.66,74.07,10.38,9.01,3.92,57.96,56.25,29.74,6.36,27.85,70.26,74.30,67.1,71.8,9.9,34.9,20.8,9.7,3.2,64.8,48.5,5.2,32.8,31.6,34.1,,,,,,,,171733,174490,99293
1996,III,M,18.41,52.80,92.17,98.37,92.17,92.59,76.34,5.62,18.51,95.54,54.25,17.53,23.32,102.59,71.29,13.62,9.44,4.40,58.54,60.69,30.72,5.82,28.93,69.28,75.21,63.8,81.0,11.4,37.4,17.4,8.0,3.1,61.6,59.6,6.2,27.9,31.9,31.0,,,,2.3,,,4.0,172629,177139,148686
1998,III,M,24.62,69.87,90.46,97.77,90.46,91.79,83.41,12.23,26.24,92.98,61.43,13.34,22.26,101.52,70.46,9.88,9.40,3.86,64.13,63.04,34.09,13.66,29.43,65.91,72.35,65.4,81.2,9.6,36.6,19.3,9.8,3.4,69.8,61.4,12.9,30.3,30.3,34.1,,,,,,,,216036,220612,157773
2000,III,M,16.76,53.91,94.62,99.64,94.62,95.58,76.51,11.13,36.84,91.34,57.32,7.44,21.05,102.00,90.26,3.91,9.53,2.96,60.34,70.58,37.86,13.51,32.75,62.14,70.93,62.7,83.6,8.1,36.8,16.5,10.6,3.5,76.0,54.9,15.4,24.5,26.9,28.1,15.0,2.4,5.6,0.6,32.3,53.9,3.7,267196,273065,163522
2003,III,M,12.81,48.17,95.51,97.32,95.51,96.66,80.25,14.54,31.23,95.74,80.10,19.96,33.62,99.94,96.93,13.38,9.41,3.77,57.01,68.88,40.07,15.21,33.98,59.93,70.72,55.3,78.6,6.8,31.2,19.9,11.7,3.4,77.7,53.5,11.8,24.6,26.7,25.8,32.7,3.1,10.6,1.9,44.2,61.4,4.7,269494,277695,173774
2006,III,M,9.54,53.31,93.75,99.89,93.75,95.79,75.82,12.12,38.93,91.74,78.37,25.51,32.80,102.13,95.41,17.53,10.19,2.02,54.99,69.80,43.23,10.70,38.60,56.77,72.85,60.1,79.5,7.9,32.4,20.1,10.7,3.5,78.9,50.0,9.8,11.3,15.1,14.4,59.9,16.2,27.0,4.3,45.7,85.6,4.3,550176,559796,226762
2009,III,M,10.42,57.33,97.41,99.46,97.41,98.14,69.07,15.83,36.19,85.38,77.68,25.29,29.78,104.65,98.69,27.28,10.17,2.31,55.46,65.59,40.78,12.74,35.58,59.22,79.79,51.6,76.5,8.1,31.1,20.1,10.6,3.4,82.1,53.7,11.3,19.6,22.8,25.2,67.9,24.4,43.9,8.1,46.8,87.2,7.0,410686,428499,252662
1990,IV,M,17.95,33.19,54.02,85.51,58.48,65.64,66.25,1.19,14.89,90.60,62.78,10.86,32.29,102.83,85.60,11.41,8.45,7.65,44.52,52.81,27.24,8.69,24.87,72.76,77.33,,75.8,9.8,33.6,22.8,11.1,3.4,79.0,38.9,3.9,46.4,43.1,46.2,,,,,,,,76085,77265,48337
1992,IV,M,18.92,27.69,64.33,92.66,65.01,70.46,76.70,1.77,18.61,90.58,57.30,7.93,31.46,105.91,85.11,7.34,8.64,6.11,40.34,53.80,29.98,9.44,27.15,70.02,85.16,53.0,74.9,9.3,32.5,22.3,12.0,3.3,70.5,61.5,9.9,39.9,32.5,35.4,,,,,,,,140462,141899,72775
1994,IV,M,16.40,38.80,73.68,94.81,74.40,77.41,74.71,5.74,25.36,92.15,58.67,15.45,31.69,103.62,85.62,18.09,8.66,5.96,61.25,58.22,34.96,11.77,30.85,65.04,68.51,64.9,78.4,9.1,31.9,20.7,11.9,3.4,80.4,49.0,9.4,32.5,26.6,30.2,,,,,,,,164712,167354,79938
1996,IV,M,19.87,45.82,74.62,94.82,74.62,79.12,76.32,2.61,31.96,89.16,67.51,14.78,30.81,104.35,84.61,27.27,8.60,7.88,45.90,64.81,33.60,7.79,30.99,66.40,72.56,60.9,78.9,8.1,34.4,19.5,12.5,3.5,77.2,59.1,13.5,31.7,27.2,32.6,,,,0.4,,,3.5,191289,196016,125965
1998,IV,M,15.07,53.57,78.16,95.99,78.16,81.14,80.73,5.01,23.20,93.15,57.91,14.78,28.37,101.05,81.71,11.45,9.12,6.10,41.86,59.12,37.27,14.41,31.90,62.73,65.59,54.8,77.3,10.2,35.0,19.5,11.1,3.4,76.4,67.1,12.3,25.4,22.6,27.3,,,,,,,,239563,245123,159742
2000,IV,M,12.52,59.53,82.78,94.09,82.78,85.55,80.01,6.78,28.63,93.35,73.70,23.21,27.00,99.57,74.55,13.27,9.27,5.45,38.23,64.54,34.10,11.62,30.14,65.90,69.39,57.5,77.6,7.6,30.9,19.2,13.5,3.4,77.8,52.2,14.7,25.5,21.3,23.1,14.4,1.9,6.8,1.0,32.7,45.0,6.8,237866,244960,188145
2003,IV,M,12.87,57.41,84.03,98.16,84.03,86.94,77.72,10.23,27.09,93.57,79.43,23.52,28.35,103.97,80.12,20.54,9.68,4.49,36.78,64.10,37.11,10.59,33.18,62.89,68.11,54.0,76.1,8.4,31.1,18.9,13.3,3.2,81.4,52.8,14.0,22.0,22.1,23.3,38.1,3.7,13.8,1.3,44.4,59.2,2.9,304943,312194,193980
2006,IV,M,11.06,61.87,90.59,98.12,90.59,92.67,76.43,13.48,42.45,94.67,78.87,24.15,16.24,104.73,69.38,12.26,9.51,4.27,36.84,68.79,34.81,8.74,31.77,65.19,66.82,57.7,79.8,6.3,27.6,17.9,15.0,3.5,87.8,47.5,12.3,16.9,16.5,19.6,52.0,7.4,22.1,1.4,32.9,82.1,5.0,339840,349744,191840
2009,IV,M,8.71,66.10,94.06,99.07,94.06,96.34,70.30,12.86,35.69,93.11,72.37,29.76,19.60,101.52,72.22,12.03,9.55,4.26,31.01,66.50,37.42,10.19,33.61,62.58,71.57,55.3,75.7,6.2,24.6,19.2,17.7,3.1,89.7,45.9,8.6,17.7,16.2,17.5,67.3,13.5,27.6,1.8,36.9,88.8,7.0,368755,386501,235520
1990,IX,M,14.62,72.24,56.08,75.67,57.67,70.89,73.63,1.10,9.30,89.82,46.61,8.65,30.70,99.49,87.46,5.54,7.69,11.20,54.04,47.29,24.77,8.95,22.56,75.23,82.73,,76.1,11.4,35.8,20.6,12.5,3.3,73.0,33.2,2.3,46.7,34.8,39.0,,,,,,,,91186,92496,50567
1992,IX,M,15.47,64.01,58.94,82.78,59.46,76.05,77.99,0.84,14.69,89.05,52.84,11.67,28.14,99.37,101.45,14.00,7.77,10.30,51.03,53.38,26.75,6.73,24.95,73.25,80.77,55.2,78.5,10.8,35.2,20.5,12.3,3.2,73.9,48.6,3.9,42.3,30.9,34.3,,,,,,,,118569,121089,62965
1994,IX,M,10.03,75.16,63.03,90.31,63.33,84.04,74.91,3.54,11.93,89.38,49.53,9.54,32.84,101.76,88.72,24.65,7.93,8.75,51.53,50.00,24.73,7.10,22.98,75.27,70.22,62.0,79.7,10.0,33.6,20.8,13.4,2.9,76.0,49.9,5.5,34.2,26.1,29.7,,,,,,,,220339,222586,116742
1996,IX,M,15.98,72.75,66.38,82.22,66.38,79.15,78.05,8.59,14.64,89.77,49.86,13.46,35.18,107.85,90.30,32.73,7.87,10.59,50.60,56.22,32.08,9.49,29.04,67.92,68.94,48.6,77.3,9.5,35.8,18.5,12.2,3.3,76.3,57.2,9.5,36.5,28.6,31.7,,,,27.6,,,6.6,212139,217721,111319
1998,IX,M,13.49,77.86,72.54,90.25,72.54,83.90,81.03,4.85,22.55,93.04,60.71,22.52,26.78,107.77,98.74,23.93,8.58,9.03,48.17,60.71,30.93,10.68,27.63,69.07,73.59,59.1,77.3,7.9,33.0,20.1,12.4,3.2,74.9,53.5,10.9,35.4,26.0,33.7,,,,,,,,285816,292313,197526
2000,IX,M,14.03,79.48,74.87,93.19,74.87,86.35,77.72,12.02,25.45,94.18,61.26,23.15,23.00,111.47,73.67,19.76,8.63,8.48,46.03,65.25,31.66,15.20,26.85,68.34,67.15,53.2,79.2,7.7,32.7,19.0,12.8,3.3,77.7,51.2,12.0,33.0,23.7,27.9,10.1,3.2,6.6,25.0,31.8,53.2,8.8,247391,255733,176658
2003,IX,M,9.89,81.91,76.62,95.98,76.62,88.45,76.42,6.62,27.10,93.72,71.62,31.99,43.68,100.99,90.26,17.64,8.92,10.45,41.04,69.88,32.51,12.64,28.40,67.49,68.48,52.8,80.3,7.1,32.3,19.5,13.3,3.0,82.6,47.3,9.9,30.0,20.8,22.8,27.2,7.0,12.4,29.3,41.0,67.8,3.1,240536,251292,203512
2006,IX,M,8.25,71.64,81.55,98.39,81.55,91.48,75.55,12.73,35.56,93.88,72.74,24.39,35.34,100.10,92.14,20.51,9.12,8.44,41.04,68.35,36.27,10.26,32.55,63.73,75.16,54.6,72.0,6.9,30.0,17.7,14.8,3.2,86.9,46.3,12.7,21.0,18.7,21.8,48.0,10.5,19.2,27.3,36.9,81.8,8.2,317109,330640,213549
2009,IX,M,7.48,74.33,83.77,98.23,83.77,91.77,68.96,12.47,37.23,94.72,76.20,27.20,26.61,102.99,71.19,17.38,9.07,7.88,35.10,69.50,33.01,15.25,27.97,66.99,71.03,46.9,75.5,6.4,27.9,17.6,16.8,3.0,88.0,49.4,11.7,27.7,28.2,29.5,61.6,12.6,26.4,28.8,33.9,87.8,10.2,282693,314083,249291
1990,RM,M,13.12,68.88,85.16,99.07,93.39,87.61,69.82,2.14,18.94,90.06,64.94,13.71,26.92,104.27,76.73,12.23,9.67,2.80,34.84,53.30,38.71,9.07,35.20,61.29,81.88,,80.8,9.7,30.5,24.0,11.0,3.3,62.0,42.4,3.9,33.2,24.8,28.2,,,,,,,,128092,129234,66780
1992,RM,M,12.99,62.19,89.26,99.46,90.56,91.20,67.45,3.23,24.68,90.74,63.40,14.70,34.73,102.38,80.89,26.89,9.54,3.20,34.07,56.30,39.92,6.97,37.14,60.08,86.11,61.4,80.6,9.3,30.7,23.0,11.3,3.2,56.5,61.7,7.1,26.8,21.3,22.8,,,,,,,,195754,196934,109467
1994,RM,M,13.61,74.18,91.17,99.70,92.51,93.05,71.69,4.94,24.53,90.19,65.31,20.72,22.53,103.20,68.00,14.69,9.70,2.95,31.67,57.99,41.39,6.97,38.51,58.61,76.56,71.6,80.0,9.0,30.6,22.3,11.1,3.3,55.6,54.0,5.7,20.2,17.4,19.8,,,,,,,,310910,312537,164400
1996,RM,M,8.33,83.36,95.03,99.66,95.03,96.24,72.28,10.66,27.43,90.60,69.21,23.43,24.55,101.54,76.99,15.98,10.11,3.13,34.26,63.20,42.75,6.11,40.14,57.25,74.96,67.2,81.6,8.2,31.3,19.9,11.7,3.2,50.6,66.6,9.2,14.9,13.2,13.8,,,,2.3,,,3.6,409664,412291,200933
1998,RM,M,11.89,81.09,94.31,99.79,94.31,95.40,74.49,7.48,28.38,92.26,67.76,23.61,27.90,101.04,94.91,11.41,10.24,2.73,32.19,62.79,44.70,10.49,40.01,55.30,74.45,65.1,81.8,7.9,30.5,20.2,11.4,3.3,55.0,65.8,7.6,15.6,13.6,15.6,,,,,,,,424421,427289,243007
2000,RM,M,11.24,82.61,96.21,99.91,96.21,97.65,72.07,8.34,29.61,91.34,67.34,21.58,34.75,106.52,101.57,29.62,10.46,2.02,30.21,65.40,46.45,10.14,41.74,53.55,75.46,64.4,82.0,7.9,30.6,19.2,11.4,3.3,60.0,55.5,11.0,15.1,12.5,14.0,17.5,8.4,16.5,2.5,41.9,56.7,4.1,430663,434220,242556
2003,RM,M,9.03,82.36,95.86,99.91,95.86,97.55,70.25,10.53,30.33,92.49,73.18,27.89,38.32,100.88,92.47,27.25,10.73,2.48,27.20,67.21,48.81,10.98,43.45,51.19,75.77,63.8,81.5,6.8,28.9,19.0,11.9,3.2,66.4,52.3,9.3,13.3,11.6,12.5,35.7,16.0,27.9,3.2,50.3,61.3,3.0,477315,481196,271031
2006,RM,M,8.65,82.45,97.33,99.93,97.33,98.42,68.14,16.39,37.84,91.78,73.99,29.44,30.76,108.76,82.09,24.13,10.61,2.43,11.12,68.59,49.02,8.30,44.95,50.98,75.55,63.4,79.0,6.2,27.4,18.9,13.6,3.3,72.2,49.2,8.9,11.0,11.1,11.4,54.9,21.3,33.9,4.5,44.9,86.9,7.1,582451,587284,295145
2009,RM,M,7.39,84.70,98.28,99.98,98.28,99.07,63.86,16.38,36.81,93.60,72.72,31.78,41.33,99.84,95.74,22.34,10.97,2.04,10.99,66.03,47.68,11.07,42.40,52.32,78.67,62.1,78.2,6.3,23.6,20.4,17.0,3.2,73.8,52.6,8.3,11.8,13.2,13.5,64.8,32.2,43.6,4.1,48.9,92.6,7.0,663153,676216,383794
1990,V,M,15.83,62.38,68.18,97.92,77.56,75.39,62.98,1.38,16.81,92.18,68.30,16.20,33.59,100.83,85.18,17.56,9.12,3.69,28.87,54.73,31.74,12.39,27.81,68.26,79.02,,81.2,9.3,32.8,21.5,12.0,3.0,69.0,37.6,9.7,44.4,39.2,43.2,,,,,,,,82310,83144,48479
1992,V,M,12.59,56.12,81.41,98.14,83.48,86.86,67.86,5.77,20.64,91.86,65.22,15.06,29.07,105.83,77.61,18.61,9.44,3.21,20.97,59.31,32.20,8.70,29.40,67.80,86.59,58.5,79.4,9.4,32.5,21.3,11.2,3.1,69.9,56.9,8.5,35.7,27.6,28.3,,,,,,,,144031,145506,82143
1994,V,M,11.37,70.05,90.58,99.34,90.94,93.37,69.34,4.75,25.48,93.43,63.84,23.59,35.23,103.12,101.64,26.28,9.48,2.52,39.67,59.38,34.67,10.05,31.19,65.33,71.08,69.5,79.4,8.3,28.7,19.9,14.5,3.1,69.5,52.4,9.2,26.7,21.4,26.8,,,,,,,,196017,197818,104568
1996,V,M,10.65,75.01,88.44,99.57,88.44,94.42,63.94,10.87,25.75,90.57,69.95,16.91,29.49,102.26,83.99,24.42,9.49,3.62,24.28,61.20,35.62,8.37,32.64,64.38,75.18,61.5,77.9,8.0,30.3,19.7,14.0,3.2,70.0,62.2,9.2,23.0,17.2,19.3,,,,1.4,,,3.8,261843,265095,130557
1998,V,M,11.32,74.04,89.36,99.54,89.36,93.58,72.54,9.94,25.98,92.84,71.14,21.42,34.41,105.18,84.65,18.50,9.95,3.29,26.15,64.58,39.98,12.20,35.10,60.02,69.70,59.6,78.8,7.4,29.2,18.6,13.8,3.3,67.2,63.4,10.9,18.9,14.3,14.9,,,,,,,,343661,347078,184119
2000,V,M,12.60,76.39,89.92,99.35,89.92,92.64,70.57,14.21,27.64,93.51,71.28,26.15,28.05,103.62,95.32,27.20,9.99,2.90,23.25,66.31,38.43,14.03,33.04,61.57,67.86,56.3,76.7,7.4,29.6,19.1,15.3,3.3,71.4,52.6,9.4,19.3,18.0,20.3,15.1,3.9,8.5,0.7,39.5,59.0,5.1,312777,317941,174956
2003,V,M,9.24,70.44,94.17,99.63,94.17,96.27,68.58,14.74,29.40,94.58,74.16,25.67,27.64,106.21,79.18,27.00,10.24,3.03,23.11,66.83,41.69,15.74,35.12,58.31,69.23,57.5,79.9,7.1,28.5,18.4,14.5,3.1,77.0,52.3,7.5,19.2,16.0,17.6,35.6,11.4,21.4,1.2,46.3,61.4,4.2,334170,338104,189268
2006,V,M,11.12,70.06,94.98,99.89,94.98,97.31,66.84,16.56,36.32,92.71,75.92,31.86,22.34,105.43,76.98,19.25,10.08,3.54,20.31,69.11,42.81,11.63,37.83,57.19,70.56,58.7,78.3,6.6,27.7,18.6,15.5,3.2,83.9,49.1,9.1,15.9,15.2,17.2,54.0,12.5,25.0,2.1,40.6,87.2,8.2,384957,392213,207535
2009,V,M,7.24,77.47,95.08,99.92,95.08,97.69,63.73,15.70,38.87,93.46,75.95,30.30,41.50,98.95,101.67,8.02,10.49,2.23,17.68,70.53,41.88,15.57,35.36,58.12,74.23,59.8,79.7,6.0,25.6,18.2,16.9,3.0,84.4,52.8,13.2,16.2,16.8,17.5,64.9,25.0,37.8,3.2,44.4,90.4,7.7,433207,451429,244452
1990,VI,M,14.01,43.46,58.99,90.89,66.92,66.92,66.08,1.01,15.45,91.28,55.72,7.32,40.00,109.64,94.23,17.72,8.01,7.33,36.65,52.00,30.36,13.73,26.19,69.64,80.40,,82.6,9.4,33.8,22.6,10.2,3.5,73.6,40.1,5.4,42.7,40.9,44.4,,,,,,,,74994,75990,45251
1992,VI,M,13.68,50.18,70.06,95.64,70.77,79.19,67.69,1.52,16.16,92.10,57.23,10.33,36.52,101.91,90.27,29.68,8.35,7.14,37.15,50.23,32.12,6.59,30.00,67.88,89.86,63.2,84.1,10.0,31.4,22.5,10.8,3.4,71.8,62.2,5.2,30.8,25.2,28.0,,,,,,,,142875,144659,77571
1994,VI,M,17.31,49.01,66.17,95.22,67.27,74.19,71.58,4.21,21.78,91.28,60.59,9.33,34.20,106.52,92.49,29.43,8.31,6.35,64.09,55.36,31.94,9.83,28.80,68.06,64.36,73.5,79.5,9.2,34.4,21.3,10.1,3.3,70.1,49.1,5.9,33.9,27.0,31.4,,,,,,,,144454,146576,94536
1996,VI,M,13.90,45.39,71.73,93.87,71.73,78.10,77.23,5.78,18.03,91.56,58.07,15.45,36.70,110.13,92.65,27.91,8.22,7.90,36.75,57.45,31.14,9.80,28.09,68.86,71.02,64.0,82.4,9.7,33.2,18.3,12.4,3.2,70.2,63.8,14.2,26.9,27.3,28.2,,,,1.3,,,4.3,174076,177789,105162
1998,VI,M,12.77,49.45,73.03,97.13,73.03,78.40,76.72,8.63,20.76,91.49,62.46,18.86,51.26,108.06,83.62,12.70,8.60,8.05,40.94,58.99,33.58,10.65,30.00,66.42,70.55,64.9,84.8,8.7,31.7,21.3,10.9,3.3,70.3,61.6,16.6,23.0,20.3,21.9,,,,,,,,220958,226264,137808
2000,VI,M,8.97,52.01,78.45,98.99,78.45,85.23,75.19,10.07,22.70,93.60,67.15,20.94,35.21,102.64,102.06,30.57,8.79,5.94,38.68,62.44,35.42,11.14,31.48,64.58,71.77,63.7,82.0,7.3,30.5,19.4,12.9,3.4,75.6,49.3,9.8,20.9,16.1,19.3,11.1,3.0,5.8,0.9,32.5,55.3,5.8,295931,302322,154088
2003,VI,M,11.50,59.62,83.03,99.16,83.03,90.43,73.30,11.64,30.23,95.28,67.85,16.28,34.02,104.49,98.72,31.80,8.99,6.49,36.87,65.05,37.21,10.59,33.27,62.79,75.64,63.1,82.8,7.2,29.1,18.0,13.1,3.1,80.2,54.9,13.6,19.8,19.1,20.5,30.8,4.9,13.2,1.3,41.2,57.8,2.6,267677,272752,164975
2006,VI,M,8.31,60.18,87.38,99.49,87.38,93.41,72.68,13.63,34.04,92.88,74.27,26.48,31.26,103.44,88.29,23.41,9.18,5.63,34.64,66.78,38.21,9.89,34.44,61.79,76.16,66.2,82.6,6.3,27.1,18.1,14.8,3.3,81.2,49.6,11.4,12.1,11.6,12.3,54.7,8.1,16.8,1.2,35.4,81.5,6.1,371105,379597,190292
2009,VI,M,8.23,69.33,88.81,99.65,88.81,95.06,65.00,14.07,35.45,96.11,69.48,24.23,28.75,105.92,82.05,19.18,9.58,5.30,32.52,64.82,39.71,10.05,35.72,60.29,82.00,66.2,81.8,6.3,26.0,18.2,17.0,3.1,83.1,49.8,13.0,13.4,12.4,12.6,67.2,13.2,29.2,2.1,36.8,87.7,9.8,445348,465013,254893
1990,VII,M,18.49,43.88,65.72,90.92,71.11,68.91,66.93,0.31,12.28,88.53,53.38,6.91,27.52,106.47,92.42,27.75,7.71,11.32,71.10,49.72,27.62,6.51,25.82,72.38,72.71,,79.5,9.4,34.7,21.0,11.7,3.4,81.8,35.4,5.0,43.6,36.2,40.6,,,,,,,,89339,90807,50809
1992,VII,M,18.98,35.40,65.12,92.75,66.21,69.36,68.38,1.74,13.00,86.51,44.75,6.84,31.32,107.88,86.66,31.65,7.78,8.83,69.90,49.44,31.80,6.28,29.81,68.20,75.90,58.6,80.4,10.6,34.9,20.5,11.4,3.2,76.2,50.0,3.8,39.6,30.7,34.6,,,,,,,,128155,129593,72711
