year,region,quintil,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1998,I,III,13.28,68.06,90.8,98.96,90.8,91.37,64.37,55.96,24,98.44,77.98,24.39,111.67,89.01,10.12,2.02,53.39,32.85,55.86,6.83,52.05,44.14,79.64,62.83434214,69.13135427,7.941709395,34.49503322,21.04681496,6.814706298,3.7834014,50.9294745,76.57701317,12.64174073,,,,,,,,316723.7026,319212.5709,172275.1618
2000,I,III,16.02,61.8,91.56,99.55,91.56,93.93,68.52,45.24,24.26,91.67,75.17,35.37,100.45,106.77,10.15,1.81,38.16,30.47,53.67,6.19,50.35,46.33,73.91,61.39257207,71.62400838,10.39268628,33.23149069,24.30131211,9.298469992,4.157140747,58.57788667,53.44781084,17.04455052,21.2442774,4.491397721,11.99657427,12.63402101,33.2716853,62.85609801,6.161985191,348000.8272,351429.795,184163.5125
2003,I,III,7.41,66.81,94.48,99.32,94.48,96.87,73.94,51.92,31.15,94.54,79.11,34.24,106.22,104.98,10.61,1.92,46.2,30.25,53.29,6.71,49.71,46.71,73.22,56.73834563,70.33306802,10.96219425,32.51385002,20.49803437,10.25751413,4.069291411,70.55748405,56.0919278,10.3875969,41.8490972,8.270801721,26.60936623,11.80756199,42.43774043,49.70532106,2.761437569,383318.7392,386579.4142,203695.3047
2006,I,III,16.37,69.81,96.67,99.57,96.67,97.01,57.14,45.49,48.59,91.86,67.11,56.69,110.66,83.76,10.99,1.18,33.99,29.23,58.92,13.84,50.76,41.08,78.57,65.39679785,74.47616433,7.908284224,28.43595475,23.72993294,10.31633137,4.291257903,63.42307822,45.78932344,9.023546847,48.94517076,26.61255084,45.50435279,13.83987093,51.66482622,88.92189538,12.84830762,514296.7168,517576.5798,236732.4796
2009,I,III,9.76,78.42,97.04,99.82,97.04,97.99,53.56,43.6,31.75,92.95,76.53,36.47,107.71,95.21,10.62,1.25,38.55,32.36,54.9,4.42,52.47,45.1,80.44,49.06832298,61.70858248,7.924800165,33.5140142,16.95941542,10.05351813,3.807092013,74.38963378,58.18521577,5.344995141,68.65236673,33.67186979,46.49789874,11.6619972,51.46208431,89.12480947,6.487225669,527204.8971,547256.9045,302128.4218
1990,I,IV,8.07,68.07,85.66,96.4,94.12,86.77,58.6,50.51,28.87,93,69.42,32.81,105.64,98.8,10.69,1.28,44.74,25.71,56.97,5.68,53.73,43.03,93.29,,71.79439042,9.428897389,30.27145829,21.46668009,10.19226898,3.828376903,55.11839327,45.62134174,6.64946106,,,,,,,,189868.1953,190763.4703,89711.14208
1992,I,IV,12.21,64.08,92.63,97.55,93.35,93.7,50.13,60.24,23.12,85.82,64.22,37.49,101.55,101.82,10.61,1.42,42.55,30.3,57.36,1.53,56.49,42.64,93.12,69.43132301,72.4546886,7.858873644,31.96024262,21.07017733,8.215393638,3.810232285,41.42252054,62.8464133,4.34032768,,,,,,,,279676.6362,280586.4279,137734.9742
1994,I,IV,3.94,78.3,97.76,100,98.45,97.85,54.06,52.39,36.52,92.19,90.27,44.91,96.69,120.05,11.74,0.23,30.57,26.4,60.41,5.72,56.96,39.59,86.33,85.92445328,74.49342963,8.523210463,27.22060937,20.27359901,12.25330635,3.643074622,47.54884412,54.86786213,3.351087439,,,,,,,,328083.6664,328856.1593,154963.4869
1996,I,IV,11.26,70.55,97.43,99.32,97.43,97.59,61.29,48.4,42.89,98.11,73.74,45.4,106.51,97.72,10.89,0.99,43.15,32.15,61.96,1.56,60.99,38.04,93.93,71.77595799,67.25913026,9.291930984,32.40377008,21.8542219,8.731139212,3.943778398,39.15025568,67.86005356,6.584748147,,,,7.32238059,,,4.399956479,423890.7308,425566.0149,209448.242
1998,I,IV,11.63,70.84,92.08,99.59,92.08,93.24,66.56,60.3,22.71,96.4,81.88,26.44,107.21,94.57,11.17,0.71,39.58,30.16,60.72,5.61,57.31,39.28,82.24,68.40286702,68.78525849,6.973940005,31.0591333,22.98644093,6.630656791,3.932168949,32.17219915,68.03179308,9.163856262,,,,,,,,546287.7701,548120.5385,256312.5925
2000,I,IV,7.81,71.47,95.51,99.69,95.51,96.05,71.14,51.88,42.09,95.74,55.73,48.21,108.84,87.3,10.79,0.84,40.82,25.77,67.87,6.53,63.44,32.13,82.96,65.79928441,67.58688814,6.923962706,24.27844434,22.06951203,12.31752164,3.930455519,47.45007757,49.53192548,16.0573267,26.62554494,9.088634202,15.44592363,11.80496472,37.42166762,57.78062157,6.56248436,531941.5933,535082.8711,227335.4428
2003,I,IV,4,80.32,91.48,99.3,91.48,93.78,56.81,46.92,50.17,99.17,76.88,51.54,108.23,116.96,11.63,1.12,30.02,31.27,61.84,5.27,58.58,38.16,88.55,67.1556196,71.11761121,5.985594396,24.85429194,22.82032644,10.2900945,3.465625429,60.13255786,48.2238714,6.149137451,40.50921257,11.25740912,34.05913949,13.92191097,53.24227957,57.74801362,1.923868198,506824.2405,508827.9332,253738.1267
2006,I,IV,7.8,76.79,98.05,99.88,98.05,98.67,55.53,56.79,44.62,95.01,87.09,52.31,100.1,139.8,10.63,0.31,28.46,25.5,61.84,7.04,57.49,38.16,89.28,66.31016043,68.88206179,5.362396099,25.29171356,18.29058817,16.18195818,3.731874447,54.34199825,49.01478809,1.774026869,60.14309832,34.7766499,53.45944155,10.62833218,54.12925799,93.82584304,12.45067623,684948.5817,686960.7121,276035.3522
2009,I,IV,9.12,77.24,95.85,99.65,95.85,97.4,67.96,48.9,34.76,88.09,55.47,53.35,98.77,99.67,11.45,1.67,29.98,28.02,63.67,0.65,63.25,36.33,94.07,50.44489347,59.23360619,6.044004439,25.80900876,19.31403809,10.40217027,3.720230684,74.55714703,57.78243888,6.516290727,70.7524653,41.53171587,50.13738673,7.187956738,51.97760663,94.71202118,8.032738965,792668.5691,800864.0487,350352.1712
1990,I,V,3.52,78.91,94.24,98.67,96.6,94.9,56.66,58.35,40.89,84.84,86.52,51.56,92.81,109.73,12,1.68,23.31,29.44,63.69,1.69,62.61,36.31,94.73,,60.56236064,8.168251203,30.61626454,18.00310594,8.518616719,3.380409731,34.97283884,51.56715047,4.462895693,,,,,,,,535705.3704,536399.6006,258345.1841
1992,I,V,2.09,72.39,94.4,99.02,95.12,94.77,56.06,58.79,42.42,90.42,73.12,52.76,101.53,98.93,12.03,0.77,21.24,24.09,65,0.8,64.48,35,92.58,74.32211574,65.87833065,7.568926975,26.08979136,15.48062593,14.43181818,3.136246787,31.33988025,67.91560947,1.469265367,,,,,,,,668519.4821,668969.9776,332709.2715
1994,I,V,0.64,79.09,99.08,99.75,99.21,99.08,59.37,50.31,23.17,94.52,86.8,26.96,97.53,123.08,12.26,0.29,18,24.05,62.79,2.19,61.41,37.21,92.41,85.67753651,68.67376246,6.016666995,19.8427865,20.33925018,17.89830375,2.677868636,27.46502303,57.6124775,11.60982949,,,,,,,,738460.4972,739719.0009,412433.8359
