year,region,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados,indice_de_gini__ingreso_autonomo_,indice_de_gini__ingreso_monetario_
1990,RM,21.74,68.06,83.25,99.13,92.42,85.51,63.63,57.08,19.77,90.52,64.66,15.5,26.87,101.83,89.35,19.3,9.9,2.58,34.96,55.14,55.32,7.89,50.95,44.68,85.05,,77.04,10.32,32.52,23.78,9.94,4.04,60.15,42.38,4.55,33,28.51,28.92,,,,,,,,180239.21,181492.14,92823.38,0.55641,0.55174
1992,RM,19.37,65.35,87.8,99.17,89.37,90.43,65.67,58.33,23.17,90.38,63.01,15.59,31.23,101.93,94.31,19.46,9.79,2.92,34.03,56.84,57.55,5.15,54.59,42.45,87.43,64.45,76.96,9.97,32.55,23.14,10.18,3.89,54.35,61.7,7.04,26.24,22.25,22.5,,,,,,,,294899.21,296585.86,152820.95,0.57841,0.57398
1994,RM,19.18,75.4,88.42,99.77,89.8,91.43,65.55,56.84,24.82,90.59,62.52,22.34,32.66,102.95,85.63,27.71,9.92,2.59,32.52,58.82,58,5.89,54.58,42,80.65,74.44,76.06,9.44,32.08,22.62,9.88,3.92,53.83,54.01,6.24,19.78,16.87,17.49,,,,,,,,406381.71,384159.5,217579.91,0.57515,0.54536
1996,RM,15.91,82.79,92.32,99.58,92.32,94.89,67.95,58.01,26.26,91.3,66.63,25.77,35.73,102.01,87.56,31.16,10.34,2.64,33.02,62.9,58.76,4.94,55.86,41.24,79.83,69.55,78.09,9.06,32.91,20.39,10.08,3.92,47.9,66.57,8.93,14.74,12.38,12.6,,,,97.62,,,3.56,528654.12,531435.57,268359.05,0.56654,0.56212
1998,RM,15.98,81.84,91.9,99.83,91.9,94.22,70.29,55.49,26.72,91.75,66.32,23.93,35.28,102.4,88.98,32.1,10.46,2.49,33.66,63.46,59.63,9.63,53.89,40.37,78.64,67.55,77.42,8.64,32.55,20.35,10.04,3.84,52.42,65.83,7.78,15.42,12.41,13.13,,,,,,,,600579.22,603538.32,322676.37,0.5809,0.57629
2000,RM,14.46,83.76,94.34,99.89,94.34,96.43,69.6,57.08,28.42,91.56,66.64,24.26,37.91,103.22,91.06,35.2,10.7,2,31.75,65.99,60.12,9.82,54.21,39.88,79.11,66.66,77.74,8.38,32.53,19.71,9.97,3.86,56.87,55.45,10.97,15.1,11.83,12.6,21.22,12.31,23.63,97.29,43.44,58.06,3.98,647915.05,651347.22,338625.91,0.58877,0.58432
2003,RM,11.95,84.67,95.22,99.88,95.22,97.32,68.94,54.8,29.98,92.53,72.21,29.6,38.74,103.61,96.61,43.67,10.99,2.21,27.33,67.39,61.55,9.34,55.81,38.45,79.09,66.28,77.98,7.47,30.4,19.8,10.64,3.78,63.89,52.27,8.78,13.08,10.46,11.06,38.25,19.19,33.88,96.78,51.75,64.78,3.1,718961.45,722685,389097.94,0.58756,0.58264
2006,RM,10.61,83.7,96.88,99.92,96.88,98.31,67.46,51.62,37.91,91.61,71.09,29.79,48.1,105.35,91.86,42.49,10.83,2.25,11.77,68.95,61.51,6.97,57.22,38.49,79.78,67.15,77.42,6.71,28.97,19.58,12.23,3.73,69.21,49.18,8.11,10.57,8.65,9.08,55.47,27.98,43.37,95.5,48.01,87.12,6.59,795268.12,799668.64,380927.2,0.55662,0.55146
2009,RM,8.15,85.9,98.26,99.94,98.26,99.15,65.05,47.98,37.32,93.11,70.47,31.33,44.31,105.66,95,44.77,11.19,1.83,11.75,66.95,59.81,10.09,53.77,40.19,82.12,65.32,76.87,6.57,25.62,20.93,15.28,3.57,71.42,52.6,9.05,11.55,9.65,10.26,65.19,39.6,52.27,95.92,52.17,92.89,6.38,995758.85,1008483.06,522186.84,0.57384,0.56264
1990,V,23.4,66.65,71.72,98.04,78.47,77.43,62.1,53.52,15.42,90.3,67.71,19.17,21.18,100.47,86.73,22.24,9.32,3.5,25.82,56.13,48.73,10.44,43.64,51.27,82.39,,75.32,10.08,34.43,21.78,11.52,3.85,67.5,37.55,8.94,43.19,36.4,37.93,,,,,,,,125390.07,126675.91,70775.94,0.54286,0.53554
