year,region,zona,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
1992,IV,R,35.29,14.38,10.24,74.07,11.55,70.46,66.67,49.02,15.55,91.21,32.92,1.94,20.59,110.99,43.48,2.43,6.38,11.64,56.57,48.52,48.30,1.64,47.51,51.70,76.30,43.2,69.0,10.8,36.9,20.3,12.5,4.0,74.9,57.5,13.4,30.2,25.5,25.3,,,,,,,,111958,114070,58440
1994,IV,R,25.36,22.12,21.09,79.25,22.88,77.41,67.49,48.90,20.58,91.73,28.59,2.13,26.54,106.55,35.67,2.99,6.16,13.16,84.47,52.27,54.78,6.48,51.23,45.22,58.77,58.0,69.6,10.6,37.4,18.0,13.2,3.9,90.8,50.5,9.9,31.3,24.8,26.9,,,,,,,,155465,160375,83493
1996,IV,R,35.96,20.27,19.78,81.85,19.78,79.12,62.65,47.35,21.40,90.41,50.12,6.18,28.86,103.84,70.44,7.52,6.46,13.99,70.75,56.08,50.78,3.32,49.10,49.22,65.28,49.9,68.8,8.2,35.1,20.1,13.7,4.2,87.0,54.7,5.2,34.1,26.5,29.9,,,,0.4,,,3.8,183189,190244,101219
1998,IV,R,28.49,28.49,20.87,81.15,20.87,81.14,78.07,47.73,20.78,92.18,51.88,6.09,27.01,105.25,65.51,7.12,6.58,11.59,72.33,57.05,51.01,9.47,46.18,48.99,56.88,41.4,67.5,8.9,36.7,18.1,13.7,4.2,92.8,61.3,9.2,26.4,21.3,23.3,,,,,,,,212610,221252,113525
2000,IV,R,26.72,18.84,27.43,73.39,27.43,85.55,74.88,43.50,20.03,91.02,55.44,8.74,25.55,103.19,84.03,9.90,6.62,13.30,73.74,57.28,46.35,7.45,42.89,53.65,60.02,40.2,64.2,8.4,33.7,18.2,14.8,4.0,88.0,55.1,10.8,28.2,20.8,22.1,6.7,0.5,1.8,0.3,16.0,25.4,9.7,220363,231208,132494
2003,IV,R,19.46,26.77,39.86,90.23,39.86,86.94,82.03,52.20,18.22,89.39,62.56,4.26,27.79,101.92,95.76,4.55,6.96,12.30,70.01,55.62,51.34,7.12,47.69,48.66,58.88,44.5,68.8,8.0,32.0,20.0,15.0,3.7,91.7,55.3,12.7,18.6,15.8,16.0,26.8,0.1,1.8,1.2,22.5,42.6,4.9,234400,246433,134638
2006,IV,R,14.47,36.96,60.59,94.01,60.59,92.67,75.79,54.85,38.42,94.44,65.73,13.38,43.89,109.45,89.63,17.62,8.20,7.80,61.54,66.14,47.98,4.52,45.82,52.02,73.75,55.6,69.4,6.9,30.2,16.4,15.2,3.6,88.8,51.7,9.8,11.0,10.0,10.4,42.6,5.8,11.9,2.2,25.4,81.2,6.7,481801,493985,303385
2009,IV,R,13.27,35.15,70.83,96.45,70.83,96.34,73.82,46.55,36.21,91.91,68.45,14.39,44.34,103.40,87.52,16.55,7.81,9.92,59.65,60.66,49.90,6.09,46.86,50.10,68.66,50.2,73.7,6.6,26.2,18.5,19.7,3.5,92.3,47.3,14.7,11.7,9.8,10.6,63.8,5.9,18.6,1.3,20.2,74.3,7.5,385244,414093,223485
1990,IX,R,32.82,57.53,13.85,31.06,15.82,70.89,63.38,53.72,3.55,84.59,26.57,0.56,6.31,100.86,34.16,1.03,6.01,15.26,63.90,39.07,46.52,6.48,43.50,53.48,79.43,,56.4,11.8,37.7,19.9,11.9,4.2,73.9,27.6,1.4,45.4,36.1,37.7,,,,,,,,112430,113761,51925
1992,IX,R,31.00,55.00,21.00,49.57,21.43,76.05,68.00,55.00,7.09,90.32,26.03,2.14,11.90,106.07,38.02,2.67,6.10,15.69,56.11,45.77,47.68,3.07,46.22,52.32,74.94,32.3,55.5,10.6,39.2,19.9,11.6,4.2,82.9,41.2,3.8,35.4,29.3,30.2,,,,,,,,141213,143984,68478
1994,IX,R,25.20,60.22,15.21,63.87,16.64,84.04,74.17,58.00,4.51,87.28,27.92,1.29,7.32,103.13,42.13,1.94,6.35,12.03,58.09,43.89,44.13,5.48,41.71,55.87,61.96,40.0,51.3,11.1,38.6,19.5,11.9,4.1,87.6,41.7,1.7,29.9,23.3,24.1,,,,,,,,163180,167318,79884
1996,IX,R,24.73,65.37,10.72,40.07,10.72,79.15,80.14,52.56,5.69,89.44,37.26,2.48,7.73,104.24,51.20,2.93,5.85,14.18,51.51,47.90,51.06,4.64,48.69,48.94,57.75,22.1,50.7,9.4,36.9,19.4,12.9,4.3,89.2,47.6,7.3,37.5,31.4,31.2,,,,59.7,,,8.7,157716,166201,70638
