year,region,zona,porc_de_hogares_con_hacinamiento,porc_de_hogares_con_materialidad_aceptable,porc_de_hogares_con_saneamiento_aceptable,porc_de_hogares_con_energia_electricidad,porc_de_hogares_con_sistema_eliminacion_de_excretas,porc_de_hogares_con_agua_dentro_de_la_vivienda,porc_de_hogares_propietarios,porc_de_hogares_biparental,tasa_neta_de_educ_pre_escolar,tasa_neta_de_educ_basica,tasa_neta_de_educ_media,tasa_neta_de_educ_superior,tasa_bruta_de_educ_pre_escolar,tasa_bruta_de_educ_basica,tasa_bruta_de_educ_media,tasa_bruta_de_educ_superior,prom_de_escolaridad,tasa_de_analfabetismo,porc_de_asistencia_a_establecimiento_municipal,porc_de_asistencia_a_establecimiento_educal,tasa_de_participacion,tasa_de_desocupacion,tasa_de_ocupacion,tasa_de_inactividad,porc_trabajadores_con_contrato_trabajo,porc_de_trabajadores_cotizando,porc_de_trabajadores_asalariados,porc_pob_de_0_a_4_agnos,porc_de_pob_menor_de_18_agnos,porc_pob_joven,porc_pob_adulto_mayor,prom_de_personas_por_hogar,porc_de_pob_en_sistema_publico_de_salud,porc_de_mujeres_que_se_han_realizado_el_pap,porc_de_menores_de_6_agnos_con_sobrepeso_u_obeso,porc_pob_pobre,porc_hogares_pobres,porc_familias_pobres,porc_pob_con_telefono_movil,porc_hogares_con_internet,porc_hogares_con_computador,porc_pob_que_pertenece_a_etnia,porc_pob_accede_a_computador,porc_pob_accede_a_internet,porc_de_pob_con_discapacidad,prom_de_ingreso_autonomo_del_hogar,prom_ingreso_monetario_del_hogar,prom_de_ingreso_ocupacion_principal_de_los_ocupados
2009,XV,R,31.29,11.28,19.38,96.37,19.38,96.79,26.32,64.48,23.19,97.67,63.32,16.14,24.22,104.52,74.39,18.43,8.92,6.91,66.66,55.66,67.23,3.60,64.81,32.77,81.74,31.1,49.0,13.4,35.4,16.1,10.3,3.4,85.5,59.0,12.8,9.9,8.0,7.3,45.9,4.5,10.0,62.8,19.5,81.4,1.8,674116,689996,305917
1990,I,U,20.45,59.90,83.17,99.17,97.61,79.79,57.30,53.80,26.06,91.78,76.45,13.17,33.05,102.10,113.21,16.17,10.15,1.91,38.06,62.73,52.53,8.92,47.84,47.47,90.14,,71.4,10.6,36.8,22.1,7.4,4.2,56.2,46.7,5.1,28.7,24.9,25.3,,,,,,,,201311,202693,109660
1992,I,U,17.38,57.78,94.46,99.20,96.15,91.15,57.11,56.28,26.32,88.24,69.53,16.27,37.40,99.46,100.44,19.10,10.17,1.57,31.48,62.81,54.05,3.85,51.97,45.95,89.81,71.4,75.1,10.3,35.6,20.4,8.4,4.1,51.9,67.9,5.4,26.1,22.3,22.6,,,,,,,,269462,270907,145485
1994,I,U,9.84,65.04,96.11,98.35,96.75,95.10,59.72,52.57,29.10,93.41,71.66,25.27,34.81,103.70,98.22,29.94,10.58,2.14,50.79,64.89,55.23,8.08,50.77,44.77,81.67,81.8,74.6,9.9,33.4,19.8,10.3,3.8,50.5,56.1,6.8,21.2,18.6,18.9,,,,,,,,309945,311788,177246
1996,I,U,18.01,68.67,97.17,99.96,97.17,95.35,59.18,56.21,32.38,93.03,66.04,27.98,39.55,109.00,94.30,34.91,10.77,0.62,24.72,66.65,55.11,5.70,51.97,44.89,86.23,69.9,71.9,10.9,36.6,21.8,6.3,4.1,49.9,67.0,5.3,20.5,18.1,17.9,,,,7.4,,,3.9,399277,401853,223869
1998,I,U,16.60,65.79,94.83,99.97,94.83,91.79,63.40,57.21,24.95,90.19,75.15,23.12,36.78,101.12,97.08,27.04,10.48,1.32,28.57,66.81,55.27,8.77,50.43,44.73,78.02,65.4,72.3,8.6,36.6,20.0,7.1,3.9,47.6,72.0,8.7,15.3,12.4,13.4,,,,,,,,462166,464932,258185
2000,I,U,18.45,65.05,94.62,99.55,94.62,92.54,69.35,48.22,30.66,93.78,69.84,17.35,37.28,105.00,96.71,29.52,10.49,1.67,23.65,62.21,58.71,11.65,51.87,41.29,76.09,62.2,70.6,10.0,32.2,22.0,10.1,4.2,59.7,53.5,13.4,20.5,16.6,17.1,21.1,8.1,16.0,13.3,37.5,57.7,6.8,520286,524502,252085
2003,I,U,13.93,68.82,94.88,98.69,94.88,93.55,68.07,46.61,33.36,95.56,74.58,28.67,36.13,105.95,99.64,41.01,10.94,1.46,17.86,66.24,57.38,10.69,51.24,42.62,75.14,62.0,69.7,9.7,33.8,21.1,8.5,4.1,66.0,48.9,9.8,18.2,14.8,16.6,39.6,12.1,28.4,11.7,49.0,62.1,2.5,529860,533807,277967
2006,I,U,14.60,69.35,99.07,99.87,99.07,96.81,60.25,48.14,44.92,93.70,74.23,19.07,49.98,105.81,104.16,26.26,10.56,1.12,2.99,65.34,54.20,9.98,48.79,45.80,80.41,60.1,66.0,8.7,31.0,20.4,11.6,4.0,64.7,48.1,6.8,11.7,9.1,9.8,52.7,22.8,36.8,12.0,49.0,92.0,11.8,584296,588053,274778
2009,I,U,13.67,74.97,97.96,99.27,97.96,96.61,61.29,44.51,43.94,91.53,66.41,23.78,50.63,106.88,96.30,32.78,10.82,1.86,3.83,69.45,55.07,6.15,51.68,44.93,85.75,47.9,63.9,9.0,33.0,20.1,9.1,3.8,75.5,56.2,11.5,16.2,12.0,14.2,63.5,34.6,45.5,11.1,53.5,94.2,8.3,659143,675958,379001
1990,II,U,24.33,57.58,69.82,99.25,82.24,78.53,54.52,54.84,13.76,90.34,68.99,13.93,20.01,102.31,89.95,16.35,9.82,2.06,11.34,54.90,50.24,7.53,46.46,49.76,89.31,,78.6,11.5,37.0,23.3,7.2,4.1,58.3,40.8,4.6,34.2,27.4,29.5,,,,,,,,175282,176455,102601
1992,II,U,25.51,51.28,83.84,99.39,86.57,86.23,56.88,52.76,15.86,86.61,60.31,9.31,25.86,103.22,91.02,12.43,9.65,1.86,11.50,52.48,52.99,7.48,49.02,47.01,88.94,69.3,79.4,12.4,36.3,23.4,6.9,4.1,57.9,59.2,3.7,31.8,27.6,28.3,,,,,,,,209583,211369,120226
1994,II,U,18.12,65.01,92.53,99.48,93.53,93.56,58.00,52.79,25.39,90.05,66.07,13.61,34.15,101.44,91.53,19.23,9.80,2.24,61.41,59.65,54.21,6.18,50.86,45.79,82.52,76.0,77.5,11.0,36.3,21.2,8.8,4.1,57.9,50.8,9.7,25.1,19.6,21.6,,,,,,,,314234,315769,173191
1996,II,U,22.23,75.14,96.26,99.92,96.26,97.27,63.72,62.07,22.09,93.39,67.29,22.21,30.07,106.59,95.81,27.78,10.35,1.06,8.38,63.30,50.81,4.48,48.53,49.19,82.92,69.0,80.1,9.8,34.8,20.1,9.1,4.1,44.1,64.2,9.6,16.3,13.3,13.2,,,,2.1,,,1.4,468283,470520,272120
1998,II,U,19.35,76.00,96.08,99.55,96.08,96.06,60.33,55.93,25.84,92.25,61.99,25.13,33.96,102.40,85.71,33.62,10.51,1.18,10.19,63.73,52.06,6.56,48.65,47.94,85.90,71.7,77.2,9.8,36.4,20.1,8.3,4.0,48.7,60.8,7.4,12.6,11.7,11.6,,,,,,,,534960,538152,320647
2000,II,U,11.01,86.68,98.92,99.98,98.92,98.93,64.52,53.94,30.07,90.50,69.18,24.42,40.60,102.51,97.99,32.33,10.97,0.98,9.31,64.61,51.00,11.53,45.12,49.00,84.65,76.2,80.5,9.3,33.5,21.7,8.6,4.0,47.4,51.8,7.6,13.4,11.4,12.4,26.4,14.6,26.3,1.6,41.1,62.8,3.7,634225,637278,398069
2003,II,U,15.77,77.27,96.36,99.60,96.36,97.64,63.28,48.86,28.51,95.95,70.10,27.39,30.69,111.40,96.80,35.69,10.96,0.60,7.75,64.12,56.89,8.51,52.05,43.11,84.73,69.6,79.0,9.0,32.0,21.1,8.6,4.2,60.8,46.8,10.9,11.3,9.8,9.1,42.5,16.9,35.0,3.9,55.7,52.5,4.5,575122,579535,312094
2006,II,U,12.91,78.46,99.06,99.95,99.06,98.49,62.99,47.33,35.12,91.83,66.52,30.84,43.12,104.69,100.19,44.70,10.72,1.28,7.75,68.16,59.48,6.15,55.82,40.52,82.23,71.5,80.5,7.7,30.0,22.1,11.7,4.1,69.1,44.3,9.2,7.3,5.5,5.6,60.8,31.0,43.9,6.7,52.9,88.5,7.9,728329,733756,313299
2009,II,U,12.32,80.13,98.95,99.97,98.95,99.00,65.47,41.16,31.82,94.25,70.02,25.52,38.69,105.07,90.70,34.49,10.66,1.54,9.93,65.10,54.95,5.78,51.77,45.05,86.18,72.1,82.8,9.1,31.3,18.8,13.2,4.3,71.6,56.3,13.4,8.0,7.8,8.2,70.6,46.8,60.3,5.0,56.8,92.5,7.3,854382,870171,422686
1990,III,U,23.96,47.14,74.65,99.23,85.21,73.61,57.46,53.68,20.20,90.44,64.58,6.77,27.69,101.27,93.23,7.12,9.12,4.36,67.90,57.61,50.81,6.92,47.30,49.19,86.65,,75.7,11.6,38.7,21.3,8.4,4.2,73.7,43.7,5.5,34.1,28.5,29.9,,,,,,,,176002,177337,95260
1992,III,U,16.52,46.93,88.02,99.37,88.70,85.34,59.72,54.56,19.61,85.86,55.22,10.32,31.49,104.02,81.04,13.59,9.42,3.39,63.85,58.37,50.95,4.63,48.59,49.05,87.56,69.8,76.7,10.0,34.3,20.3,10.0,3.7,60.0,66.2,5.8,29.7,24.6,25.1,,,,,,,,230390,231837,136163
1994,III,U,18.91,56.91,91.60,99.25,92.03,89.30,59.09,52.85,23.33,88.53,60.15,8.96,33.38,105.13,84.82,12.01,9.34,2.89,57.82,57.56,52.13,4.14,49.97,47.87,83.59,77.2,73.8,10.1,35.0,20.6,8.9,4.0,61.2,47.9,4.6,31.7,26.7,28.9,,,,,,,,237492,239394,139684
1996,III,U,21.59,60.98,95.51,99.42,95.51,91.65,67.29,59.56,20.49,93.79,55.45,20.17,27.17,108.76,80.79,24.86,9.81,3.56,56.92,63.09,52.23,5.77,49.22,47.77,82.04,68.6,71.9,11.2,38.2,17.6,7.4,4.0,55.5,59.9,6.3,26.3,22.1,22.7,,,,2.4,,,4.4,426903,430214,266329
1998,III,U,24.32,66.05,95.26,98.96,95.26,91.01,70.76,54.72,27.34,93.01,63.00,13.50,35.61,102.20,82.72,18.20,9.75,3.31,65.07,63.61,53.74,11.70,47.45,46.26,80.02,70.3,76.0,9.8,37.3,19.1,9.0,4.0,66.7,61.5,10.4,29.1,23.1,25.8,,,,,,,,358531,362579,223693
2000,III,U,19.37,62.04,97.80,99.72,97.80,94.23,68.87,55.85,32.27,90.91,59.03,11.66,46.08,105.36,89.39,19.31,9.96,2.61,65.04,71.05,56.16,11.49,49.70,43.84,79.84,69.7,82.7,8.3,37.8,16.6,9.0,4.0,72.6,54.9,11.7,24.1,19.6,21.6,18.9,5.0,14.1,0.6,35.0,56.3,3.7,377458,382243,219268
2003,III,U,15.73,57.03,98.63,99.22,98.63,95.20,71.25,50.51,34.91,95.69,73.60,24.58,41.29,103.38,98.54,31.72,9.73,3.36,59.23,70.31,57.03,10.21,51.21,42.97,81.98,66.8,76.0,7.1,33.2,19.6,9.8,3.9,75.2,53.0,9.7,25.3,20.5,20.3,35.5,8.6,20.1,2.1,47.0,64.8,5.0,399055,405356,231075
2006,III,U,12.98,66.78,98.25,99.87,98.25,94.97,68.32,50.80,38.06,92.72,69.75,23.73,47.90,104.83,96.70,31.16,10.48,1.92,58.34,69.47,58.60,6.65,54.70,41.40,83.58,70.2,80.1,8.6,34.2,20.1,9.0,4.0,77.2,49.9,8.7,11.1,9.4,10.3,59.9,21.2,39.3,3.8,50.0,85.2,4.1,659966,667259,316179
2009,III,U,14.00,70.58,98.47,99.79,98.47,96.57,67.90,48.10,32.66,88.63,72.82,24.52,46.53,99.74,104.58,29.52,10.49,1.83,54.48,65.76,56.01,9.50,50.69,43.99,83.53,60.1,80.0,9.4,34.3,20.5,9.1,4.0,77.7,53.7,10.6,18.3,15.3,17.4,68.1,36.5,54.8,6.5,55.5,89.1,6.1,659505,675276,353739
1990,IV,U,23.46,54.80,73.30,98.65,79.40,65.44,64.43,50.46,19.10,91.61,66.81,16.53,24.63,103.15,91.48,17.20,9.34,4.41,41.37,57.76,48.97,8.68,44.72,51.03,82.80,,70.6,10.9,35.3,22.5,9.8,4.1,74.4,39.9,5.5,44.9,39.9,40.5,,,,,,,,122649,124192,71788
1992,IV,U,23.39,37.29,84.99,99.20,85.40,69.68,68.14,48.35,18.77,91.17,67.37,11.06,27.54,102.72,93.46,14.16,9.53,2.83,36.81,55.65,52.06,7.30,48.26,47.94,90.70,57.8,66.7,9.8,33.2,22.8,10.9,4.0,66.3,63.0,7.8,42.1,35.6,37.0,,,,,,,,190859,192703,103816
1994,IV,U,20.68,52.68,91.02,99.61,91.78,74.66,70.83,52.09,26.83,91.76,69.43,16.39,35.03,102.16,98.23,19.11,9.52,2.89,55.85,61.45,54.01,8.27,49.54,45.99,75.38,72.4,73.3,9.4,33.4,20.4,11.1,3.9,74.6,48.5,7.3,32.3,27.2,27.9,,,,,,,,240221,242317,128378
1996,IV,U,20.88,59.73,89.57,99.26,89.57,75.06,73.10,53.03,32.33,90.07,64.71,19.17,41.71,102.93,95.15,23.52,9.51,4.90,39.17,63.39,54.58,7.23,50.63,45.42,75.25,63.7,75.5,8.8,33.3,21.6,11.0,4.1,70.9,60.5,11.9,28.8,24.6,26.3,,,,0.6,,,3.4,335030,338579,176986
1998,IV,U,18.45,69.36,94.09,99.88,94.09,81.12,73.98,55.09,30.09,92.19,62.87,18.25,37.95,103.97,82.36,23.51,10.08,3.75,35.76,62.39,56.57,10.08,50.87,43.43,73.72,61.9,75.5,10.2,35.5,20.4,10.4,3.9,70.1,68.8,11.9,24.3,19.5,20.9,,,,,,,,413681,417846,224130
2000,IV,U,14.79,71.84,97.42,99.82,97.42,84.23,76.50,52.58,35.74,94.39,72.98,27.58,43.00,103.27,98.80,36.91,10.12,3.04,31.64,70.14,53.18,12.09,46.75,46.82,75.82,63.5,74.6,7.5,33.1,19.2,11.4,4.0,72.4,51.5,12.1,23.9,19.7,20.1,19.8,4.6,14.3,1.3,38.6,49.3,6.2,468343,473684,241258
2003,IV,U,12.44,69.44,95.69,99.59,95.69,87.13,72.15,50.64,35.59,94.30,76.79,26.90,42.14,106.70,95.93,37.59,10.45,2.32,30.72,67.90,54.57,9.57,49.35,45.43,74.16,59.8,72.9,8.6,32.7,18.8,11.1,3.8,76.9,52.1,10.8,22.3,18.4,19.8,42.9,11.4,27.3,1.3,52.1,62.5,3.0,496728,501874,270568
2006,IV,U,12.57,69.81,97.33,99.33,97.33,92.76,76.37,43.17,41.90,91.38,77.77,24.25,54.05,103.52,100.08,32.34,9.93,3.15,33.64,68.43,52.59,7.58,48.60,47.41,72.34,62.6,78.2,6.5,28.9,19.7,14.0,3.9,85.9,46.5,10.6,17.1,14.0,15.6,53.8,12.1,30.3,1.5,38.1,83.7,4.9,461890,470936,232718
2009,IV,U,8.83,75.99,98.52,99.83,98.52,95.46,71.72,45.42,38.36,92.83,71.89,29.91,47.86,104.89,98.38,39.26,10.19,2.28,26.77,68.09,53.91,8.42,49.36,46.09,75.65,59.7,75.6,6.5,27.3,19.7,14.6,3.5,86.4,45.5,9.7,17.7,14.8,15.7,67.8,25.0,39.4,1.8,44.0,91.5,6.3,558153,574825,335220
1990,IX,U,22.50,78.80,69.01,92.11,71.77,59.87,67.16,52.93,15.92,92.25,56.10,15.48,22.88,104.44,77.69,16.49,9.04,5.79,49.35,56.31,47.54,7.96,43.75,52.46,86.74,,67.2,10.5,35.9,21.4,12.1,4.1,72.7,36.5,3.8,47.0,41.5,42.2,,,,,,,,129121,130654,73997
1992,IX,U,22.26,64.72,75.36,98.28,76.00,71.96,69.14,54.29,19.71,88.02,57.84,16.65,29.69,103.35,84.20,19.26,9.02,4.81,45.22,57.84,49.61,5.92,46.68,50.39,83.78,60.9,74.0,10.9,35.3,21.8,11.1,4.0,67.0,52.4,4.7,45.2,38.6,39.5,,,,,,,,148565,151132,84401
1994,IX,U,16.73,78.93,79.18,98.36,80.30,74.59,64.01,56.50,16.60,93.64,61.60,14.17,21.51,105.84,84.79,18.37,9.11,4.26,47.54,55.85,51.18,5.02,48.61,48.82,78.11,68.8,71.4,10.7,34.1,20.2,11.8,3.6,68.7,54.0,5.9,37.0,31.4,32.2,,,,,,,,261173,262982,170899
1996,IX,U,20.68,78.08,83.61,98.23,83.61,72.61,72.01,57.20,25.14,90.70,56.56,20.96,35.79,104.87,78.40,23.85,9.30,5.54,47.72,63.78,54.41,7.91,50.11,45.59,75.35,60.2,74.7,9.3,36.0,19.3,10.7,3.9,66.6,62.1,11.6,34.7,29.3,30.3,,,,9.9,,,5.6,300821,305402,159445
1998,IX,U,18.24,82.60,90.45,99.38,90.45,77.86,70.96,56.37,29.01,95.09,63.72,26.76,34.18,107.70,88.53,35.14,10.01,3.96,46.15,65.14,51.99,9.51,47.05,48.01,78.41,65.6,74.6,9.0,34.5,20.6,10.1,3.8,66.1,56.6,10.9,33.5,27.0,29.6,,,,,,,,412561,417595,250505
2000,IX,U,18.47,83.41,89.90,99.42,89.90,81.86,72.90,55.85,29.09,94.94,66.26,25.63,35.32,108.14,93.94,37.15,9.98,4.15,43.98,66.98,55.07,13.20,47.80,44.93,72.47,58.9,75.3,9.1,34.0,19.3,10.6,3.9,69.5,52.8,13.1,31.8,26.2,27.5,17.1,6.7,14.1,11.6,40.6,58.6,8.4,442490,448485,259369
2003,IX,U,12.72,82.83,92.96,99.33,92.96,84.25,68.63,49.73,34.73,94.75,73.28,38.30,42.16,105.90,112.78,49.74,10.24,5.69,38.02,73.79,52.09,11.94,45.87,47.91,71.85,59.8,75.9,6.8,32.0,21.8,11.1,3.7,74.7,47.8,11.7,29.8,24.9,25.9,35.3,10.8,22.0,14.0,50.2,74.2,3.0,435299,442237,266168
2006,IX,U,8.90,74.68,96.07,99.61,96.07,87.70,71.43,50.24,41.34,94.20,75.66,25.59,49.42,106.97,100.52,35.64,10.19,4.74,37.35,69.25,55.67,7.85,51.30,44.33,79.56,62.3,72.8,6.6,29.8,19.9,12.9,3.6,80.5,47.1,12.0,19.9,16.7,18.3,56.2,16.3,32.5,12.8,45.6,86.7,7.5,489935,498762,259564
2009,IX,U,10.07,81.66,98.00,99.67,98.00,89.39,70.90,51.89,44.19,95.04,75.42,29.81,50.37,107.73,102.49,35.04,10.11,4.30,31.64,72.09,51.71,12.88,45.05,48.29,77.83,52.9,73.2,6.2,29.6,19.3,14.1,3.5,83.3,49.4,13.1,27.8,23.8,24.6,66.1,21.9,38.9,14.5,44.2,89.4,9.3,501280,527788,344018
1990,RM,U,21.43,68.92,84.92,99.39,94.20,84.97,64.23,57.01,20.18,90.59,65.35,15.93,27.35,101.85,90.37,19.84,9.99,2.38,33.67,55.48,55.36,8.00,50.92,44.64,85.37,,77.0,10.3,32.4,23.8,10.0,4.0,59.5,42.5,4.6,33.1,28.6,29.1,,,,,,,,181643,182886,93717
1992,RM,U,19.12,66.36,89.91,99.54,91.50,90.22,65.76,58.26,23.70,90.50,63.80,15.95,31.67,102.05,95.72,19.92,9.87,2.68,32.84,57.15,57.69,5.22,54.68,42.31,87.87,64.7,77.0,9.9,32.4,23.2,10.2,3.9,53.7,61.7,7.2,26.2,22.2,22.5,,,,,,,,299212,300875,154736
1994,RM,U,18.90,76.26,90.10,99.88,91.47,90.99,65.75,56.67,25.30,90.63,63.10,22.82,33.11,102.97,86.37,28.34,10.00,2.45,31.51,59.08,58.14,6.00,54.65,41.86,81.34,74.9,76.0,9.4,31.9,22.7,9.9,3.9,53.0,54.1,6.3,19.6,16.8,17.4,,,,,,,,412690,389665,220800
1996,RM,U,15.81,83.64,93.73,99.63,93.73,94.48,68.18,57.74,26.55,91.43,66.92,26.18,35.89,102.07,88.02,31.69,10.43,2.44,32.22,63.05,58.92,5.00,55.98,41.08,80.18,69.9,78.1,9.1,32.9,20.5,10.1,3.9,47.2,66.8,9.0,14.8,12.4,12.6,,,,2.3,,,3.6,534600,537326,271026
1998,RM,U,15.74,82.74,93.38,99.89,93.38,93.84,70.60,55.26,27.00,91.75,66.66,24.44,35.52,102.42,89.45,32.79,10.55,2.26,32.61,63.65,59.80,9.72,53.99,40.20,79.04,67.9,77.4,8.6,32.5,20.4,10.0,3.8,51.9,65.9,7.8,15.5,12.4,13.2,,,,,,,,606572,609452,326017
2000,RM,U,14.31,84.74,95.62,99.95,95.62,96.06,69.87,56.96,28.72,91.50,66.88,24.72,38.26,103.18,91.39,35.94,10.78,1.81,30.64,66.20,60.30,9.93,54.31,39.70,79.49,66.9,77.7,8.4,32.5,19.7,9.9,3.9,56.2,55.6,11.0,15.2,11.9,12.7,21.4,12.6,24.2,2.7,44.1,58.2,4.0,655966,659288,342637
2003,RM,U,11.95,85.37,96.13,99.90,96.13,97.23,68.96,54.56,30.17,92.48,72.38,30.08,38.94,103.54,96.87,44.44,11.05,2.09,26.55,67.51,61.65,9.46,55.82,38.35,79.36,66.4,77.9,7.5,30.3,19.9,10.6,3.8,63.5,52.2,8.8,13.2,10.5,11.2,38.4,19.5,34.4,3.2,52.3,65.0,3.1,721696,725352,391323
2006,RM,U,10.63,84.51,97.52,99.93,97.52,98.26,67.56,51.41,38.14,91.54,71.19,30.11,48.42,105.29,92.04,43.06,10.89,2.09,11.60,69.09,61.66,7.04,57.33,38.34,79.93,67.3,77.4,6.7,28.9,19.6,12.2,3.7,68.9,49.2,8.1,10.7,8.8,9.2,55.6,28.5,43.9,4.4,48.6,87.4,6.6,799030,803326,381465
2009,RM,U,8.19,86.42,98.64,99.94,98.64,99.19,65.03,47.60,37.87,93.06,70.73,31.64,44.98,105.58,95.46,45.33,11.23,1.78,11.59,67.18,59.93,10.19,53.82,40.07,82.26,65.3,76.8,6.5,25.4,21.0,15.3,3.6,71.2,52.5,8.9,11.7,9.8,10.4,65.2,40.1,52.6,4.1,52.5,93.2,6.5,1002982,1015528,524761
1990,V,U,23.10,68.48,76.82,98.76,84.09,78.04,64.89,52.61,16.23,90.40,70.61,20.47,21.67,100.17,90.42,23.79,9.57,2.89,20.44,56.94,47.99,11.29,42.57,52.01,83.08,,74.1,10.0,34.1,22.0,11.8,3.8,65.5,37.7,9.9,43.6,36.9,38.6,,,,,,,,128105,129384,72948
1992,V,U,18.39,59.54,84.91,99.08,86.39,85.86,61.18,59.59,19.45,91.88,66.15,18.95,27.85,103.49,92.66,23.37,9.81,2.46,17.61,60.36,52.17,5.86,49.11,47.83,88.16,63.9,76.6,9.8,33.9,20.9,10.2,3.8,67.4,56.8,6.6,36.3,30.6,30.5,,,,,,,,210466,212168,120343
1994,V,U,16.05,71.46,92.24,99.61,92.95,89.96,66.17,52.81,26.46,92.70,65.26,26.39,32.44,104.96,86.37,31.64,9.91,1.93,36.62,61.54,52.52,7.53,48.57,47.48,76.72,74.0,77.0,9.4,31.9,20.2,12.9,3.8,66.4,52.7,8.1,27.4,22.1,23.9,,,,,,,,272681,274551,147633
1996,V,U,15.29,78.50,91.17,99.86,91.17,91.84,65.54,55.42,26.61,91.30,66.67,20.19,35.97,102.71,91.01,26.51,10.05,2.77,19.37,64.02,52.49,6.92,48.86,47.51,77.51,65.8,76.1,7.9,31.6,19.9,13.2,3.8,64.5,62.1,10.1,22.3,18.7,19.0,,,,1.5,,,3.6,344968,348365,183025
1998,V,U,13.86,78.17,92.50,99.65,92.50,91.46,69.11,54.72,27.81,92.42,71.08,23.54,36.81,103.40,100.39,29.67,10.35,2.47,21.82,65.90,56.61,10.47,50.68,43.39,73.45,63.9,76.2,8.0,31.4,19.4,12.1,3.8,62.3,63.9,10.6,18.7,15.6,15.4,,,,,,,,451787,455406,241524
2000,V,U,12.70,82.15,94.22,99.82,94.22,93.64,67.10,55.61,29.10,91.48,68.67,26.23,36.52,103.73,101.15,33.92,10.44,2.02,21.10,66.88,54.30,12.07,47.74,45.70,73.13,62.1,75.1,8.2,30.8,18.9,14.1,3.7,66.8,52.7,8.6,18.8,15.1,16.2,19.4,8.5,17.7,0.7,43.0,60.5,5.1,442221,446491,237814
2003,V,U,11.04,74.97,95.80,99.73,95.80,95.82,68.68,50.14,29.81,93.54,72.70,27.04,38.20,106.55,95.26,41.36,10.57,2.29,18.75,68.42,55.50,12.62,48.50,44.50,73.38,62.6,76.3,7.3,30.5,18.6,13.2,3.7,73.1,52.2,6.8,20.1,16.1,16.8,37.3,12.2,26.9,1.2,49.7,65.2,4.8,414942,419297,241722
2006,V,U,11.15,74.45,96.45,99.90,96.45,96.85,67.86,48.67,38.19,92.21,73.33,31.76,46.19,102.38,100.70,44.03,10.48,2.85,16.94,69.41,56.95,8.70,52.00,43.05,76.52,64.7,77.5,6.9,29.2,19.6,13.8,3.6,80.2,48.9,8.7,16.1,12.7,13.9,54.7,18.5,34.4,2.2,44.5,87.8,7.5,511788,517987,263229
2009,V,U,7.97,78.70,96.34,99.85,96.34,97.79,65.61,45.32,38.99,92.81,72.95,32.12,47.48,104.68,95.22,43.03,10.72,2.16,14.83,69.35,54.19,12.56,47.38,45.81,80.02,65.2,77.8,6.3,26.7,19.9,16.2,3.4,81.2,52.4,13.5,15.9,13.4,14.5,64.5,30.6,44.8,3.3,47.2,90.8,7.5,619814,637559,329274
1990,VI,U,23.94,56.67,75.51,98.40,83.67,60.56,58.97,57.84,17.28,91.37,61.51,8.04,24.09,101.73,88.40,8.97,8.90,4.94,26.37,56.71,53.95,10.30,48.39,46.05,85.79,,76.7,10.3,37.0,20.9,8.8,4.1,64.7,40.1,6.4,42.4,37.2,38.6,,,,,,,,130624,131853,72683
1992,VI,U,17.02,60.91,87.76,98.40,88.70,71.95,65.82,56.58,18.96,91.10,62.74,13.59,26.49,102.88,90.21,16.06,9.48,3.93,25.51,55.20,53.11,4.98,50.46,46.89,90.17,69.8,77.0,10.2,32.3,22.3,10.8,4.0,63.2,65.8,5.8,28.8,25.2,25.6,,,,,,,,236652,238468,124522
1994,VI,U,19.15,64.64,80.13,99.15,81.18,71.40,68.23,58.36,22.08,90.68,63.12,11.69,29.81,100.39,93.21,15.74,9.09,3.47,59.28,57.86,54.76,8.63,50.04,45.24,72.21,80.6,79.3,9.0,33.7,20.7,10.0,3.9,64.5,49.8,5.3,36.0,30.2,31.4,,,,,,,,231409,233037,130140
1996,VI,U,15.13,62.03,83.60,98.26,83.60,70.97,71.32,59.85,22.49,91.62,60.38,19.52,31.72,103.22,78.67,23.90,9.18,4.84,28.60,60.93,53.40,7.44,49.43,46.60,75.50,69.8,79.0,9.3,34.1,19.7,10.9,3.9,64.6,65.1,13.1,28.4,25.3,25.2,,,,1.6,,,4.2,312422,315457,167248
1998,VI,U,15.18,66.31,88.26,99.34,88.26,77.72,69.88,58.26,22.39,91.32,67.19,21.19,30.50,100.34,91.05,28.15,9.49,4.14,30.80,59.59,55.46,9.68,50.09,44.54,73.89,67.6,78.5,9.9,33.8,21.7,9.1,3.9,61.3,63.6,15.0,24.9,21.1,21.4,,,,,,,,395725,399368,217364
2000,VI,U,14.23,65.24,91.16,99.24,91.16,83.96,71.26,56.13,26.62,91.78,67.01,23.66,36.44,102.40,86.60,28.03,9.57,4.33,29.64,64.81,55.29,8.51,50.58,44.71,76.87,66.7,77.0,7.5,32.1,19.1,11.3,3.9,67.6,48.8,11.4,21.7,18.1,18.6,16.1,5.9,13.3,0.9,37.9,56.2,4.9,411786,416524,216040
2003,VI,U,13.36,69.20,91.74,99.47,91.74,88.30,68.93,55.51,30.48,94.42,70.36,21.04,37.57,107.90,99.60,31.84,9.90,4.27,25.74,66.94,56.85,8.15,52.22,43.15,80.89,69.9,79.7,7.7,30.5,19.5,11.3,3.6,72.9,53.7,13.3,20.0,16.2,17.1,37.5,8.3,22.3,1.3,48.1,63.1,2.6,408877,413568,234955
